District,Population,Healthcare_Facilities,Malaria_Cases,TB_Cases,HIV_Cases,Deaths,Year,Target_Cases,Priority_Level
Rulindo,304996,9,5109,243,572,27,2005,5401,High
Gasabo,251891,4,1027,215,127,64,2005,621,Low
Kicukiro,213563,6,2321,96,593,91,2005,2642,Medium
Nyarugenge,262422,11,74,173,536,4,2005,475,Low
Ruhango,145228,14,1426,16,346,70,2005,2341,Low
Gisagara2,239812,4,1492,330,365,85,2005,2188,Low
Kigali,161684,2,3520,34,261,40,2006,3562,High
Huye,179829,13,3169,172,185,40,2006,3340,Medium
Musanze,168949,11,3996,258,156,30,2006,3782,High
Rubavu,339337,7,1873,191,295,40,2006,1717,Medium
Rusizi,261641,14,1619,133,377,84,2006,1575,Medium
Nyagatare,160169,13,3038,318,168,60,2006,2686,Medium
Rwamagana,153168,10,1627,67,236,98,2006,2009,Medium
Gicumbi,224282,2,3776,235,645,27,2006,4559,High
Nyanza,112826,12,1329,53,422,69,2006,2211,Low
Karongi,172887,12,4055,95,624,44,2006,3678,High
Bugesera,419294,11,1876,113,160,48,2006,2143,Medium
Nyamasheke,386374,13,1567,94,700,74,2006,1521,Medium
Gisagara,136582,13,5207,155,593,57,2006,5111,High
Muhanga,345917,4,2818,86,152,14,2006,3812,Medium
Ngoma,355822,13,2370,125,349,27,2006,2906,Medium
Kayonza,200470,8,3173,217,682,44,2006,2845,Medium
Kirehe,212221,5,2784,270,584,53,2006,2986,Medium
Rutsiro,275474,10,5283,186,574,86,2006,5328,High
Burera,102776,4,2587,296,385,34,2006,2640,Medium
Ngororero,312769,6,-319,103,154,77,2006,-715,Low
Kamonyi,120062,4,3988,154,672,82,2006,3912,High
Nyabihu,264362,8,1609,243,519,103,2006,1137,Medium
Gakenke,307315,6,1615,89,631,68,2006,1903,Medium
Nyaruguru,214182,10,4149,209,273,7,2006,4374,High
Rulindo,311096,8,3497,210,641,42,2006,3952,Medium
Gasabo,256929,3,2653,249,267,79,2006,2733,Medium
Kicukiro,217835,5,1955,75,676,80,2006,2486,Medium
Nyarugenge,267671,10,681,193,492,12,2006,1589,Low
Ruhango,148133,13,2022,54,381,71,2006,2185,Medium
Gisagara2,244609,3,1616,237,317,78,2006,1481,Medium
Kigali,164918,2,2792,33,409,42,2007,3526,Medium
Huye,183425,13,3738,180,90,45,2007,3679,High
Musanze,172328,11,3396,220,120,19,2007,4239,Medium
Rubavu,346124,7,1000,224,244,46,2007,1743,Low
Rusizi,266874,14,2338,217,335,77,2007,2758,Medium
Nyagatare,163373,13,2384,301,209,60,2007,3289,Medium
Rwamagana,156232,10,1110,117,151,93,2007,826,Low
Gicumbi,228768,2,3891,217,615,36,2007,3539,High
Nyanza,115082,12,1233,25,496,72,2007,1502,Low
Karongi,176344,12,3025,56,753,56,2007,3836,Medium
Bugesera,427680,11,2766,161,108,53,2007,3048,Medium
Nyamasheke,394102,13,1357,127,691,69,2007,1344,Low
Gisagara,139313,13,5293,147,584,73,2007,5582,High
Muhanga,352836,4,2986,91,175,23,2007,3171,Medium
Ngoma,362938,13,633,107,338,33,2007,629,Low
Kayonza,204479,8,3740,174,519,39,2007,4261,High
Kirehe,216466,5,2773,242,442,50,2007,2510,Medium
Rutsiro,280983,10,3989,157,477,93,2007,4857,High
Burera,104831,4,1533,306,234,41,2007,2522,Medium
Ngororero,319024,6,430,90,193,78,2007,1416,Low
Kamonyi,122463,4,5227,225,596,86,2007,5004,High
Nyabihu,269649,8,3187,278,648,88,2007,3382,Medium
Gakenke,313462,6,1009,142,691,79,2007,531,Low
Nyaruguru,218466,10,3254,164,278,11,2007,4144,Medium
Rulindo,317318,8,4602,169,668,41,2007,4230,High
Gasabo,262067,3,2674,166,97,61,2007,3301,Medium
Kicukiro,222191,5,2022,127,547,85,2007,1994,Medium
Nyarugenge,273024,10,870,142,533,15,2007,600,Low
Ruhango,151095,13,2132,30,295,77,2007,1743,Medium
Gisagara2,249501,3,1612,241,333,80,2007,1713,Medium
Kigali,168216,2,1854,76,241,44,2008,2391,Medium
Huye,187094,13,3980,186,220,54,2008,4066,High
Musanze,175775,11,4047,310,96,30,2008,4671,High
Rubavu,353046,7,1560,190,244,34,2008,2103,Medium
Rusizi,272212,14,2907,146,353,74,2008,3899,Medium
Nyagatare,166640,13,2877,256,69,71,2008,2564,Medium
Rwamagana,159356,10,1355,84,66,101,2008,1997,Low
Gicumbi,233343,2,4096,159,515,29,2008,3931,High
Nyanza,117384,12,231,68,537,66,2008,324,Low
Karongi,179871,12,4590,74,760,59,2008,5432,High
Bugesera,436234,11,3356,146,247,56,2008,3955,Medium
Nyamasheke,401984,13,1626,145,662,64,2008,1144,Medium
Gisagara,142100,13,3874,114,554,72,2008,4580,High
Muhanga,359892,4,3053,25,66,24,2008,3689,Medium
Ngoma,370197,13,1283,178,263,37,2008,1802,Low
Kayonza,208569,8,4102,172,662,43,2008,3799,High
Kirehe,220795,5,3396,254,443,57,2008,2973,Medium
Rutsiro,286603,10,3466,209,494,91,2008,3567,Medium
Burera,106928,4,2423,283,266,38,2008,1972,Medium
Ngororero,325405,6,1455,138,120,77,2008,1208,Low
Kamonyi,124912,4,5450,207,633,86,2008,5512,High
Nyabihu,275042,8,2237,260,629,90,2008,3062,Medium
Gakenke,319731,6,1416,148,666,65,2008,964,Low
Nyaruguru,222835,10,3758,208,431,4,2008,3613,High
Rulindo,323664,8,4903,251,566,32,2008,5721,High
Gasabo,267309,3,1784,196,223,64,2008,2092,Medium
Kicukiro,226635,5,1721,77,543,87,2008,1408,Medium
Nyarugenge,278484,10,1429,152,489,5,2008,1653,Low
Ruhango,154117,13,1303,27,337,78,2008,1216,Low
Gisagara2,254491,3,1941,324,304,73,2008,2684,Medium
Kigali,171580,2,1810,32,309,43,2009,2515,Medium
Huye,190836,13,3965,241,109,46,2009,4305,High
Musanze,179290,11,3948,315,210,22,2009,4043,High
Rubavu,360107,7,2736,243,154,34,2009,2925,Medium
Rusizi,277656,14,2930,213,206,75,2009,3068,Medium
Nyagatare,169973,13,3478,317,191,68,2009,4149,Medium
Rwamagana,162544,10,1770,54,222,91,2009,2719,Medium
Gicumbi,238010,2,5203,169,558,31,2009,5016,High
Nyanza,119731,12,-446,95,474,67,2009,37,Low
Karongi,183469,12,2956,62,687,52,2009,2900,Medium
Bugesera,444959,11,1879,96,275,47,2009,2273,Medium
Nyamasheke,410024,13,1574,158,631,61,2009,1666,Medium
Gisagara,144942,13,5130,130,521,57,2009,4657,High
Muhanga,367090,4,3526,50,172,11,2009,3202,High
Ngoma,377601,13,1049,184,414,40,2009,746,Low
Kayonza,212740,8,3570,192,575,31,2009,3091,High
Kirehe,225211,5,3248,291,462,52,2009,2845,Medium
Rutsiro,292335,10,4510,185,516,89,2009,5119,High
Burera,109067,4,1587,302,373,34,2009,1657,Medium
Ngororero,331913,6,1334,160,205,79,2009,1394,Low
Kamonyi,127411,4,4756,169,687,93,2009,5433,High
Nyabihu,280543,8,1863,309,569,107,2009,1576,Medium
Gakenke,326126,6,2173,164,652,80,2009,2276,Medium
Nyaruguru,227292,10,3623,161,364,8,2009,3802,High
Rulindo,330138,8,3355,189,588,42,2009,3301,Medium
Gasabo,272655,3,840,186,225,68,2009,1407,Low
Kicukiro,231168,5,1636,73,489,82,2009,2595,Medium
Nyarugenge,284054,10,1651,210,528,19,2009,2601,Medium
Ruhango,157200,13,2316,72,280,79,2009,2319,Medium
Gisagara2,259581,3,843,306,177,79,2009,506,Low
Kigali,175012,3,2025,107,301,36,2010,2083,Medium
Huye,194652,14,4258,200,143,52,2010,4311,High
Musanze,182876,12,2939,299,224,23,2010,2824,Medium
Rubavu,367310,8,1637,266,264,43,2010,1395,Medium
Rusizi,283209,15,1260,162,360,70,2010,1774,Low
Nyagatare,173373,14,3079,243,132,73,2010,3191,Medium
Rwamagana,165794,11,534,133,244,98,2010,577,Low
Gicumbi,242770,3,4162,167,640,40,2010,4701,High
Nyanza,122126,13,686,76,514,77,2010,1371,Low
Karongi,187138,13,3935,71,674,45,2010,3565,High
Bugesera,453858,12,1807,131,122,63,2010,2236,Medium
Nyamasheke,418224,14,2774,92,734,69,2010,3669,Medium
Gisagara,147840,14,4952,119,594,74,2010,5852,High
Muhanga,374432,5,3991,73,178,16,2010,3947,High
Ngoma,385153,14,1245,174,347,38,2010,1220,Low
Kayonza,216995,9,4782,217,522,27,2010,5262,High
Kirehe,229715,6,3811,286,430,51,2010,3617,High
Rutsiro,298182,11,4285,216,449,93,2010,4737,High
Burera,111248,5,1278,262,333,45,2010,1614,Low
Ngororero,338551,7,280,72,107,75,2010,710,Low
Kamonyi,129959,5,4085,221,677,89,2010,4674,High
Nyabihu,286154,9,1963,281,615,102,2010,1916,Medium
Gakenke,332648,7,695,99,697,61,2010,1162,Low
Nyaruguru,231838,11,4624,221,367,2,2010,4639,High
Rulindo,336740,9,3739,186,609,31,2010,3381,High
Gasabo,278108,4,1989,182,151,74,2010,1948,Medium
Kicukiro,235791,6,1940,70,620,78,2010,2284,Medium
Nyarugenge,289735,11,1067,203,520,2,2010,1212,Low
Ruhango,160344,14,1652,94,380,70,2010,2039,Medium
Gisagara2,264772,4,1133,270,311,74,2010,1133,Low
Kigali,178512,2,2380,84,264,46,2011,2475,Medium
Huye,198546,13,4228,177,207,48,2011,3881,High
Musanze,186534,11,2725,302,176,27,2011,2307,Medium
Rubavu,374656,7,2508,237,264,40,2011,3306,Medium
Rusizi,288873,14,2714,150,372,76,2011,3300,Medium
Nyagatare,176840,13,3152,254,206,77,2011,3049,Medium
Rwamagana,169110,10,1418,77,227,88,2011,1853,Low
Gicumbi,247626,2,3978,185,510,27,2011,4877,High
Nyanza,124569,12,353,102,547,75,2011,673,Low
Karongi,190881,12,4414,102,650,49,2011,3981,High
Bugesera,462935,11,2442,71,99,52,2011,3092,Medium
Nyamasheke,426589,13,2363,142,561,77,2011,2294,Medium
Gisagara,150797,13,5136,81,495,66,2011,5129,High
Muhanga,381921,4,4158,92,152,9,2011,4985,High
Ngoma,392856,13,1820,153,388,27,2011,2332,Medium
Kayonza,221335,8,4185,188,638,30,2011,4743,High
Kirehe,234309,5,3089,332,461,50,2011,3913,Medium
Rutsiro,304145,10,3685,181,559,94,2011,3622,High
Burera,113473,4,2611,260,252,43,2011,2769,Medium
Ngororero,345322,6,-314,113,106,68,2011,-282,Low
Kamonyi,132558,4,5639,175,572,92,2011,5270,High
Nyabihu,291877,8,3327,312,551,91,2011,4256,Medium
Gakenke,339301,6,570,124,640,72,2011,263,Low
Nyaruguru,236475,10,4027,225,422,8,2011,4637,High
Rulindo,343475,8,5255,167,715,43,2011,5327,High
Gasabo,283670,3,1554,167,121,68,2011,2544,Medium
Kicukiro,240507,5,1919,96,668,88,2011,2171,Medium
Nyarugenge,295530,10,703,161,547,4,2011,1658,Low
Ruhango,163550,13,1126,87,285,85,2011,1278,Low
Gisagara2,270068,3,1276,281,215,87,2011,1989,Low
Kigali,182082,2,2700,65,377,28,2012,2801,Medium
Huye,202516,13,4154,237,216,44,2012,5040,High
Musanze,190265,11,3957,224,114,16,2012,4273,High
Rubavu,382149,7,1415,203,221,49,2012,1097,Low
Rusizi,294651,14,2042,161,340,80,2012,2448,Medium
Nyagatare,180377,13,3412,281,76,58,2012,4103,Medium
Rwamagana,172492,10,1918,58,122,92,2012,1873,Medium
Gicumbi,252578,2,4470,167,690,42,2012,5294,High
Nyanza,127060,12,135,105,602,72,2012,811,Low
Karongi,194699,12,3510,89,659,53,2012,3440,High
Bugesera,472194,11,2181,112,272,63,2012,2530,Medium
Nyamasheke,435120,13,2766,153,613,61,2012,2904,Medium
Gisagara,153813,13,3862,151,607,70,2012,3773,High
Muhanga,389559,4,3508,91,116,5,2012,3339,High
Ngoma,400713,13,1922,101,257,33,2012,2380,Medium
Kayonza,225762,8,4781,201,695,45,2012,5570,High
Kirehe,238996,5,3022,316,447,51,2012,3922,Medium
Rutsiro,310228,10,4917,162,394,102,2012,4870,High
Burera,115742,4,1666,216,298,34,2012,1552,Medium
Ngororero,352228,6,1596,155,53,62,2012,2200,Medium
Kamonyi,135209,4,5757,149,715,84,2012,6591,High
Nyabihu,297715,8,3317,320,560,104,2012,3967,Medium
Gakenke,346087,6,717,104,596,66,2012,493,Low
Nyaruguru,241204,10,4303,152,403,2,2012,5255,High
Rulindo,350345,8,3672,234,743,31,2012,4225,High
Gasabo,289344,3,1986,259,126,63,2012,1680,Medium
Kicukiro,245317,5,1695,75,562,84,2012,2281,Medium
Nyarugenge,301441,10,-141,196,453,5,2012,762,Low
Ruhango,166821,13,2330,27,396,70,2012,2269,Medium
Gisagara2,275469,3,2267,269,176,74,2012,2187,Medium
Kigali,185724,2,3132,87,422,42,2013,3803,Medium
Huye,206567,13,4134,181,227,52,2013,5076,High
Musanze,194070,11,3562,310,152,22,2013,3878,High
Rubavu,389792,7,1743,224,197,35,2013,2658,Medium
Rusizi,300544,14,1907,170,315,81,2013,2239,Medium
Nyagatare,183984,13,3110,239,144,70,2013,4067,Medium
Rwamagana,175942,10,1111,69,166,87,2013,685,Low
Gicumbi,257630,2,4070,159,655,40,2013,3932,High
Nyanza,129601,12,-19,104,456,82,2013,-258,Low
Karongi,198592,12,4502,58,602,50,2013,4486,High
Bugesera,481638,11,1576,100,267,48,2013,2134,Medium
Nyamasheke,443823,13,2195,93,741,78,2013,1895,Medium
Gisagara,156889,13,3811,98,537,70,2013,3948,High
Muhanga,397350,4,4096,24,112,20,2013,4897,High
Ngoma,408728,13,588,155,381,35,2013,392,Low
Kayonza,230277,8,4893,161,610,45,2013,5291,High
Kirehe,243776,5,3690,332,556,55,2013,3951,High
Rutsiro,316433,10,4863,219,565,94,2013,4662,High
Burera,118057,4,1138,282,334,31,2013,1546,Low
Ngororero,359273,6,795,159,152,64,2013,729,Low
Kamonyi,137914,4,4305,154,651,91,2013,3908,High
Nyabihu,303669,8,2718,265,478,92,2013,3216,Medium
Gakenke,353009,6,2371,87,601,65,2013,2527,Medium
Nyaruguru,246028,10,3454,170,357,18,2013,3017,Medium
Rulindo,357352,8,4412,259,573,38,2013,5075,High
Gasabo,295131,3,1020,182,233,67,2013,995,Low
Kicukiro,250224,5,2056,112,667,95,2013,2113,Medium
Nyarugenge,307469,10,854,133,475,18,2013,1236,Low
Ruhango,170158,13,524,29,277,80,2013,843,Low
Gisagara2,280979,3,1439,302,352,74,2013,2064,Low
Kigali,189439,2,3151,55,419,42,2014,3365,Medium
Huye,210698,13,3027,233,218,48,2014,2608,Medium
Musanze,197951,11,2715,266,201,26,2014,2986,Medium
Rubavu,397588,7,1765,221,181,39,2014,1380,Medium
Rusizi,306554,14,1918,203,280,86,2014,2154,Medium
Nyagatare,187664,13,3943,307,178,63,2014,4789,High
Rwamagana,179461,10,717,108,59,99,2014,503,Low
Gicumbi,262782,2,4233,251,523,37,2014,4638,High
Nyanza,132193,12,1367,77,531,80,2014,2094,Low
Karongi,202564,12,2845,84,724,43,2014,3040,Medium
Bugesera,491270,11,2764,120,144,46,2014,2282,Medium
Nyamasheke,452699,13,2478,95,571,77,2014,3328,Medium
Gisagara,160027,13,3984,76,527,56,2014,4799,High
Muhanga,405297,4,2597,44,4,19,2014,2237,Medium
Ngoma,416902,13,2288,94,349,35,2014,2938,Medium
Kayonza,234883,8,3217,163,536,28,2014,3419,Medium
Kirehe,248651,5,3240,257,405,44,2014,3681,Medium
Rutsiro,322761,10,5340,138,549,88,2014,5938,High
Burera,120418,4,2378,286,208,42,2014,2065,Medium
Ngororero,366458,6,1657,106,47,73,2014,1239,Medium
Kamonyi,140672,4,4943,153,618,81,2014,4817,High
Nyabihu,309742,8,1642,257,561,89,2014,1591,Medium
Gakenke,360069,6,1992,92,757,75,2014,1999,Medium
Nyaruguru,250949,10,4155,173,434,7,2014,4893,High
Rulindo,364499,8,4271,216,589,32,2014,4091,High
Gasabo,301033,3,1687,191,275,73,2014,2613,Medium
Kicukiro,255228,5,1592,50,540,92,2014,1274,Medium
Nyarugenge,313619,10,883,153,595,11,2014,1416,Low
Ruhango,173561,13,1885,75,283,88,2014,2044,Medium
Gisagara2,286598,3,735,246,347,84,2014,1246,Low
Kigali,193227,3,1593,46,308,31,2015,2321,Medium
Huye,214912,14,3406,239,47,52,2015,3941,Medium
Musanze,201910,12,3766,246,60,29,2015,3619,High
Rubavu,405540,8,2525,261,238,42,2015,3489,Medium
Rusizi,312686,15,1968,215,353,87,2015,2587,Medium
Nyagatare,191417,14,3805,273,118,75,2015,3694,High
Rwamagana,183050,11,599,83,167,95,2015,731,Low
Gicumbi,268038,3,4090,174,638,28,2015,4017,High
Nyanza,134837,13,1009,113,487,79,2015,1327,Low
Karongi,206616,13,2792,126,749,46,2015,2915,Medium
Bugesera,501096,12,3046,139,276,48,2015,2946,Medium
Nyamasheke,461753,14,2806,174,702,61,2015,2937,Medium
Gisagara,163228,14,4393,79,635,66,2015,4929,High
Muhanga,413403,5,3697,40,27,16,2015,3719,High
Ngoma,425240,14,2329,154,391,35,2015,2361,Medium
Kayonza,239580,9,4836,210,641,31,2015,5145,High
Kirehe,253624,6,3025,282,499,51,2015,3903,Medium
Rutsiro,329217,11,4669,152,496,89,2015,5205,High
Burera,122827,5,1209,227,305,30,2015,1357,Low
Ngororero,373788,7,-11,99,67,61,2015,612,Low
Kamonyi,143485,5,4417,224,725,86,2015,4078,High
Nyabihu,315937,9,3409,329,467,94,2015,3182,Medium
Gakenke,367271,7,1521,107,643,72,2015,1960,Medium
Nyaruguru,255968,11,4014,162,293,0,2015,3869,High
Rulindo,371789,9,4854,260,575,42,2015,4471,High
Gasabo,307054,4,828,171,147,72,2015,380,Low
Kicukiro,260333,6,2125,77,496,80,2015,2750,Medium
Nyarugenge,319891,11,1652,123,486,5,2015,1549,Medium
Ruhango,177032,14,1539,38,382,71,2015,1149,Medium
Gisagara2,292330,4,1189,249,181,90,2015,1229,Low
Kigali,197092,2,1711,47,351,33,2016,1329,Medium
Huye,219210,13,3503,168,214,51,2016,3106,High
Musanze,205948,11,3739,273,53,21,2016,3413,High
Rubavu,413650,7,2620,220,298,36,2016,3534,Medium
Rusizi,318939,14,2737,147,232,76,2016,2992,Medium
Nyagatare,195246,13,3904,247,47,73,2016,3958,High
Rwamagana,186711,10,647,139,181,88,2016,769,Low
Gicumbi,273399,2,3820,228,661,37,2016,4095,High
Nyanza,137534,12,-242,100,605,77,2016,495,Low
Karongi,210748,12,3734,47,676,43,2016,3722,High
Bugesera,511118,11,1611,161,253,56,2016,2213,Medium
Nyamasheke,470988,13,2232,174,717,64,2016,2859,Medium
Gisagara,166492,13,3835,74,516,75,2016,3768,High
Muhanga,421671,4,3927,22,35,13,2016,4540,High
Ngoma,433745,13,2036,157,322,36,2016,2042,Medium
Kayonza,244372,8,4285,210,512,39,2016,4240,High
Kirehe,258697,5,3496,302,491,53,2016,3486,Medium
Rutsiro,335801,10,5199,183,566,102,2016,5824,High
Burera,125283,4,1215,268,393,43,2016,873,Low
Ngororero,381263,6,149,107,39,77,2016,-347,Low
Kamonyi,146355,4,5416,189,657,84,2016,5163,High
Nyabihu,322256,8,3070,274,637,93,2016,2584,Medium
Gakenke,374616,6,1230,140,695,74,2016,1182,Low
Nyaruguru,261087,10,4255,172,301,17,2016,4468,High
Rulindo,379225,8,3599,174,565,31,2016,4215,High
Gasabo,313195,3,1294,205,202,61,2016,1124,Low
Kicukiro,265539,5,848,81,494,87,2016,619,Low
Nyarugenge,326289,10,416,220,453,13,2016,1078,Low
Ruhango,180573,13,734,92,247,87,2016,544,Low
Gisagara2,298177,3,1445,314,323,76,2016,2228,Low
Kigali,201034,2,2160,51,288,29,2017,2956,Medium
Huye,223595,13,2942,195,119,36,2017,3371,Medium
Musanze,210067,11,3382,223,167,21,2017,2889,Medium
Rubavu,421923,7,1340,282,227,31,2017,2290,Low
Rusizi,325318,14,2040,203,386,89,2017,2293,Medium
Nyagatare,199151,13,3933,328,117,69,2017,3569,High
Rwamagana,190446,10,695,113,82,89,2017,1374,Low
Gicumbi,278867,2,5475,198,671,34,2017,5296,High
Nyanza,140285,12,1124,85,581,69,2017,1802,Low
Karongi,214963,12,3540,136,767,52,2017,4236,High
Bugesera,521340,11,1464,163,106,45,2017,1092,Low
Nyamasheke,480408,13,2780,176,638,67,2017,3259,Medium
Gisagara,169822,13,3846,163,623,58,2017,4728,High
Muhanga,430105,4,4199,97,20,22,2017,4383,High
Ngoma,442420,13,636,179,397,44,2017,459,Low
Kayonza,249259,8,3921,128,559,39,2017,4848,High
Kirehe,263871,5,3764,321,406,53,2017,4328,High
Rutsiro,342517,10,3447,139,513,83,2017,4371,Medium
Burera,127789,4,2301,312,374,32,2017,2509,Medium
Ngororero,388889,6,940,72,69,79,2017,1100,Low
Kamonyi,149282,4,3895,213,578,92,2017,3797,High
Nyabihu,328701,8,2613,301,658,102,2017,2439,Medium
Gakenke,382108,6,648,119,706,74,2017,279,Low
Nyaruguru,266309,10,3632,218,382,17,2017,3759,High
Rulindo,386809,8,4430,254,698,34,2017,5321,High
Gasabo,319459,3,1945,207,250,74,2017,1919,Medium
Kicukiro,270850,5,1351,46,648,76,2017,1557,Low
Nyarugenge,332815,10,1227,145,432,9,2017,915,Low
Ruhango,184184,13,1565,101,253,78,2017,2092,Medium
Gisagara2,304140,3,2434,266,354,87,2017,2404,Medium
Kigali,205054,2,2745,45,338,32,2018,3107,Medium
Huye,228066,13,2577,205,101,43,2018,2901,Medium
Musanze,214269,11,3644,275,80,17,2018,4524,High
Rubavu,430362,7,2711,196,301,37,2018,3319,Medium
Rusizi,331824,14,2318,206,202,88,2018,2159,Medium
Nyagatare,203134,13,3894,303,107,63,2018,3813,High
Rwamagana,194255,10,1025,80,243,97,2018,1891,Low
Gicumbi,284444,2,5363,205,531,31,2018,5399,High
Nyanza,143090,12,669,40,584,78,2018,1377,Low
Karongi,219262,12,4057,90,690,44,2018,4060,High
Bugesera,531767,11,2500,148,151,51,2018,2752,Medium
Nyamasheke,490016,13,1356,146,576,70,2018,2081,Low
Gisagara,173219,13,3474,128,622,64,2018,3950,Medium
Muhanga,438707,4,4247,103,13,21,2018,4182,High
Ngoma,451268,13,1655,111,339,31,2018,2280,Medium
Kayonza,254245,8,3713,192,692,45,2018,4317,High
Kirehe,269148,5,2601,322,590,50,2018,3220,Medium
Rutsiro,349367,10,4789,204,392,97,2018,4695,High
Burera,130345,4,2401,253,331,45,2018,3342,Medium
Ngororero,396666,6,423,102,86,73,2018,504,Low
Kamonyi,152268,4,4058,221,604,76,2018,4918,High
Nyabihu,335275,8,3079,290,535,103,2018,2753,Medium
Gakenke,389750,6,603,134,765,61,2018,1065,Low
Nyaruguru,271635,10,4339,149,339,3,2018,4207,High
Rulindo,394545,8,4148,204,678,28,2018,4135,High
Gasabo,325848,3,852,219,127,74,2018,1025,Low
Kicukiro,276267,5,1216,35,542,94,2018,1617,Low
Nyarugenge,339471,10,725,218,582,9,2018,563,Low
Ruhango,187868,13,570,72,256,84,2018,459,Low
Gisagara2,310223,3,1575,245,233,73,2018,1733,Medium
Kigali,209155,2,2256,102,352,38,2019,3237,Medium
Huye,232628,13,3436,172,134,38,2019,3363,Medium
Musanze,218554,11,3286,217,146,30,2019,3098,Medium
Rubavu,438969,7,1702,193,317,33,2019,2216,Medium
Rusizi,338461,14,1572,173,271,70,2019,1184,Medium
Nyagatare,207196,13,3091,288,106,62,2019,3897,Medium
Rwamagana,198140,10,414,56,180,85,2019,430,Low
Gicumbi,290133,2,4082,183,579,31,2019,3699,High
Nyanza,145952,12,421,72,438,82,2019,-61,Low
Karongi,223647,12,3377,112,695,42,2019,3435,Medium
Bugesera,542402,11,3157,131,130,56,2019,3764,Medium
Nyamasheke,499817,13,2802,94,624,74,2019,2516,Medium
Gisagara,176683,13,4869,123,608,73,2019,5199,High
Muhanga,447481,4,3286,64,139,14,2019,2802,Medium
Ngoma,460294,13,842,92,274,31,2019,1777,Low
Kayonza,259329,8,4302,168,698,44,2019,5299,High
Kirehe,274531,5,3604,275,573,59,2019,4331,High
Rutsiro,356355,10,4949,137,401,84,2019,5817,High
Burera,132952,4,2826,294,207,38,2019,2491,Medium
Ngororero,404600,6,-318,87,184,67,2019,-600,Low
Kamonyi,155313,4,4465,157,593,93,2019,5096,High
Nyabihu,341981,8,1883,325,570,89,2019,2820,Medium
Gakenke,397546,6,1827,113,723,63,2019,2484,Medium
Nyaruguru,277068,10,4584,161,249,8,2019,4564,High
Rulindo,402436,8,4673,209,632,34,2019,5639,High
Gasabo,332365,3,874,220,96,64,2019,1462,Low
Kicukiro,281793,5,1110,57,493,90,2019,1948,Low
Nyarugenge,346261,10,498,172,453,5,2019,607,Low
Ruhango,191625,13,791,28,257,69,2019,1171,Low
Gisagara2,316428,3,876,300,176,87,2019,1536,Low
Kigali,213339,3,2728,105,358,37,2020,3671,Medium
Huye,237280,14,3420,198,145,40,2020,3095,Medium
Musanze,222925,12,3301,232,100,29,2020,2854,Medium
Rubavu,447748,8,1552,221,218,45,2020,2346,Medium
Rusizi,345230,15,1621,215,322,78,2020,2035,Medium
Nyagatare,211340,14,3327,327,48,68,2020,3203,Medium
Rwamagana,202103,11,1339,81,224,104,2020,877,Low
Gicumbi,295936,3,3882,178,612,46,2020,4452,High
Nyanza,148871,13,557,76,515,69,2020,355,Low
Karongi,228120,13,3595,77,612,51,2020,3155,High
Bugesera,553250,12,2400,130,159,44,2020,2230,Medium
Nyamasheke,509813,14,2636,169,639,76,2020,3497,Medium
Gisagara,180217,14,5016,88,624,68,2020,5019,High
Muhanga,456431,5,4282,10,105,5,2020,4796,High
Ngoma,469500,14,2432,177,224,45,2020,2425,Medium
Kayonza,264516,9,3450,208,574,32,2020,3244,Medium
Kirehe,280022,6,3505,294,424,43,2020,3553,High
Rutsiro,363482,11,3991,216,447,84,2020,3935,High
Burera,135611,5,2593,274,373,32,2020,3368,Medium
Ngororero,412692,7,1303,98,92,78,2020,865,Low
Kamonyi,158419,5,5482,148,738,86,2020,5753,High
Nyabihu,348820,9,2718,248,520,98,2020,3039,Medium
Gakenke,405496,7,582,147,702,63,2020,1055,Low
Nyaruguru,282609,11,3775,135,341,5,2020,4639,High
Rulindo,410485,9,4305,190,695,42,2020,4518,High
Gasabo,339012,4,1634,182,293,63,2020,1754,Medium
Kicukiro,287428,6,818,115,566,78,2020,1281,Low
Nyarugenge,353186,11,-95,122,601,13,2020,872,Low
Ruhango,195458,14,660,59,252,88,2020,312,Low
Gisagara2,322756,4,2348,287,215,75,2020,2469,Medium
Kigali,217605,2,2741,80,268,43,2021,2337,Medium
Huye,242026,13,3204,237,100,43,2021,3733,Medium
Musanze,227384,11,3122,250,65,20,2021,3251,Medium
Rubavu,456703,7,1123,228,220,47,2021,698,Low
Rusizi,352135,14,1448,202,394,78,2021,2256,Low
Nyagatare,215567,13,3318,272,118,70,2021,3489,Medium
Rwamagana,206145,10,1856,62,91,101,2021,2626,Medium
Gicumbi,301854,2,5153,240,695,31,2021,5298,High
Nyanza,151849,12,153,31,499,65,2021,1090,Low
Karongi,232683,12,3372,75,742,59,2021,3845,Medium
Bugesera,564315,11,2088,73,212,47,2021,2261,Medium
Nyamasheke,520009,13,2821,115,556,74,2021,2567,Medium
Gisagara,183821,13,5025,88,578,70,2021,5930,High
Muhanga,465559,4,2984,31,75,15,2021,2620,Medium
Ngoma,478890,13,1719,119,406,27,2021,1237,Medium
Kayonza,269806,8,3155,201,669,41,2021,3656,Medium
Kirehe,285622,5,2561,263,574,44,2021,2201,Medium
Rutsiro,370751,10,4100,135,553,98,2021,3838,High
Burera,138323,4,1204,262,382,35,2021,1343,Low
Ngororero,420946,6,516,87,30,67,2021,1308,Low
Kamonyi,161588,4,5145,163,601,76,2021,5675,High
